date,ticker,label,score,close,vix_high_stress,sector_above_sma200,dca_action,dca_multiplier,sma_200,atr_14,sma200_slope_20,consec_below_lower_band,fwd_10,fwd_30,fwd_60
2016-05-11,AAPL,Strong Sell,-1.0,86.9949855143,False,True,regular,1.0,100.520292134271,2.1151067996357114,-2.245150266841506,18.0,0.07685655604829038,0.038806615501362066,0.16807553970333752
2016-05-12,AAPL,Strong Sell,-1.0,84.9543507876,False,True,regular,1.0,100.37657610191499,2.213262912992854,-2.3389627282195136,19.0,0.11146778835466292,0.033872038963541906,0.20603785591820284
2016-05-13,AAPL,Strong Sell,-1.0,85.1236200276,False,True,regular,1.0,100.2355033863915,2.247325596935712,-2.4154930092154956,20.0,0.1085947856823145,0.016791869200775935,0.2085266112101984
2016-05-16,AAPL,Strong Sell,-1.0,88.2833125076,False,True,regular,1.0,100.1130858558125,2.414475330449999,-2.4568783064840147,21.0,0.06369833830505499,-0.003089049850463213,0.15659850700900982
2016-05-17,AAPL,Strong Sell,-1.0,87.9165624876,False,True,regular,1.0,99.99376472533051,1.949164929207143,-2.4932406106399867,22.0,0.0531607658575049,0.009733661354431286,0.16067056327631452
2016-05-18,AAPL,Strong Sell,-1.0,88.922774081,False,True,regular,1.0,99.892652437455,1.8223511204857143,-2.514449561535983,23.0,0.033417935702198635,0.010998307952124219,0.15019497621536415
2016-05-19,AAPL,Strong Sell,-1.0,88.584235601,False,True,regular,1.0,99.807356401805,1.7393350756642871,-2.515849530926488,24.0,0.03949044585942682,0.0179405520171588,0.1684653513895821
2016-05-20,AAPL,Strong Sell,-1.0,89.543427961,False,True,regular,1.0,99.72335453903001,1.709794091485715,-2.528975819864982,25.0,0.035811804243150676,-0.0024154589367988,0.15489285554201485
2016-05-23,AAPL,Strong Sell,-1.0,90.6812934077,False,True,regular,1.0,99.643890099237,1.701919030435715,-2.5462797159839994,26.0,0.026962563516902675,-0.009333195063670315,0.13873313565167741
2016-05-24,AAPL,Strong Sell,-1.0,92.0636588677,False,True,regular,1.0,99.5695323998535,1.674556410028572,-2.5402748727375126,27.0,0.010623084779906932,-0.020020429009330404,0.12019696135151509
