label,count,mean_fwd_10,median_fwd_10,hit_rate_10,mean_fwd_30,median_fwd_30,hit_rate_30,mean_fwd_60,median_fwd_60,hit_rate_60
Strong Buy,5228,0.003893029996772565,0.005353921774586117,0.6073068094873757,0.011878559513366202,0.014355214222504863,0.6597780329123613,0.02445391209635687,0.027272943244720068,0.7268367542681757
Mild Buy,69,0.002380382405795402,0.00806154512948321,0.5942028985507246,0.01815786053292139,0.023968784838350014,0.7246376811594203,0.030301778042082766,0.043056729478446756,0.7101449275362319
Hold,168,0.007929788950810193,0.008041274265000557,0.5952380952380952,0.026388581343094214,0.03592190477997966,0.7108433734939759,0.04415983099477243,0.05545493906032658,0.73125
Mild Sell,102,0.0019756918005387723,0.004827016258399491,0.5588235294117647,0.022683109766025614,0.026655616374990223,0.6435643564356436,0.04523340232936667,0.06701246726116639,0.7244897959183674
Strong Sell,1483,0.001459248569980021,0.005459409291914615,0.5553292600135777,0.0013264568580188952,0.00969630083907401,0.5493827160493827,0.00044594365005205545,0.012751118237725519,0.5489655172413793
