series,start,end,final_equity,cagr,max_drawdown
SP500 strategy,1990-12-31,2018-12-21,5.6669303113170635,0.06397546897598394,-0.28786340387263315
SP500 buy&hold,1990-12-31,2018-12-21,7.318212101023665,0.0737466522533603,-0.5677538894035704
AAPL strategy,2016-04-11,2020-05-22,2.206413588614112,0.21220572502110624,-0.3736572710642899
AAPL buy&hold,2016-04-11,2020-05-22,3.129507918395883,0.31973814343051576,-0.38515163799831653
