label,count,mean_fwd_10,median_fwd_10,hit_rate_10,mean_fwd_30,median_fwd_30,hit_rate_30,mean_fwd_60,median_fwd_60,hit_rate_60
Strong Buy,797,0.009787183671247621,0.015505960383734507,0.6429479034307497,0.030433974304653402,0.04367672066594669,0.6466753585397653,0.06523483609472235,0.06818075801864114,0.7758620689655172
Mild Buy,32,0.022223208701202077,0.02644456952073665,0.875,0.04742946527807942,0.04181394517708407,0.84375,0.11483308329779418,0.11783827614374398,0.9666666666666667
Hold,32,0.03670656518830158,0.05142769350778885,0.6875,0.09375789756778038,0.11383681491000486,0.8125,0.04443779288862615,0.05875445165943299,0.7368421052631579
Mild Sell,5,0.079509027343343,0.05308846623617461,1.0,0.14979966956026805,0.11155399659834338,1.0,0.10725842365488453,0.10559532190558521,1.0
Strong Sell,172,0.0166520311715484,0.023852177736757185,0.622093023255814,0.06750800573467712,0.0989887633972456,0.7790697674418605,0.13457194891697682,0.14010130401975215,0.9005847953216374
