date,ticker,label,score,close,vix_high_stress,sector_above_sma200,fwd_10,fwd_30,fwd_60
1991-02-26,SP500,Strong Buy,1.0,362.81,False,True,0.019900223257352252,0.028499765717593162,0.03687880708910999
1991-02-27,SP500,Strong Buy,1.0,367.74,False,True,0.018572904769674183,0.02689400119649749,0.019633436667210447
1991-02-28,SP500,Strong Buy,1.0,367.07,False,True,0.017517094832048403,0.03631459939521068,0.028386956166398823
1991-03-01,SP500,Strong Buy,1.0,370.47,False,True,0.008421734553404992,0.028936216157853457,0.030960671579345074
1991-03-04,SP500,Strong Buy,1.0,369.33,False,True,0.007527143746784799,0.04952210760024916,0.03644437224162683
1991-03-05,SP500,Strong Buy,1.0,376.72,False,True,-0.02688999787640702,0.03644616691441909,0.027181991930346018
1991-03-06,SP500,Strong Buy,1.0,376.17,False,True,-0.021931573490708987,0.03267139856979547,0.03631336895552534
1991-03-07,SP500,Strong Buy,0.9999999999999999,375.91,False,True,-0.024819770689792877,0.022053151020190905,0.03232156633236673
1991-03-08,SP500,Strong Buy,1.0,374.95,False,True,-0.01992265635418048,0.01600213361781571,0.03411121482864388
1991-03-11,SP500,Strong Buy,0.9999999999999999,372.96,False,True,-0.00839232089232088,0.023595023595023627,0.03252359502359501
1991-03-12,SP500,Strong Buy,0.9999999999999999,370.03,False,True,0.01694457206172483,0.03440261600410783,0.036753776720806486
1991-03-13,SP500,Strong Buy,0.9999999999999999,374.57,False,True,0.002082387804682782,0.012494326828096236,0.012974877859946108
1991-03-14,SP500,Strong Buy,0.9999999999999999,373.5,False,True,0.004605087014725642,0.014779116465863405,0.013574297188755002
1991-03-15,SP500,Strong Buy,0.9999999999999999,373.59,False,True,-0.006129714392783436,0.0001873711823122943,0.01996841457212462
1991-03-18,SP500,Strong Buy,0.9999999999999999,372.11,False,True,0.019859718900325136,0.008680228964553388,0.01220069334336611
1991-03-19,SP500,Strong Buy,1.0,366.59,False,True,0.03368886221664536,0.03737145039417345,0.030115387762895938
1991-03-20,SP500,Strong Buy,0.9999999999999999,367.92,False,True,0.03220808871493794,0.03424657534246566,0.03905740378343119
1991-03-21,SP500,Strong Buy,0.9999999999999999,366.58,False,True,0.023951115718260762,0.038790986960554386,0.03696328223034539
1991-03-22,SP500,Strong Buy,0.9999999999999999,367.48,False,True,0.03042342440404922,0.03428758027647754,0.03023293784695754
1991-03-25,SP500,Strong Buy,0.9999999999999999,369.83,False,True,0.010085715058270066,0.020252548468215153,0.014222750993699783
1991-03-26,SP500,Strong Buy,0.9999999999999999,376.3,False,True,-0.00837098060058473,0.005872973691203772,-0.0023385596598458555
1991-03-27,SP500,Strong Buy,0.9999999999999999,375.35,False,True,0.00607433062475016,0.02104702277873978,0.006394032236579132
1991-03-28,SP500,Strong Buy,0.9999999999999999,375.22,False,True,0.013805234262565826,0.0013858536325355305,-0.01140664143702369
1991-04-01,SP500,Strong Buy,0.9999999999999999,371.3,False,True,0.02663614328036624,0.014705090223538862,-0.00175060597899282
1991-04-02,SP500,Strong Buy,0.9999999999999999,379.5,False,True,0.021396574440052715,-0.020764163372859013,-0.0208432147562583
1991-04-03,SP500,Strong Buy,0.9999999999999999,378.94,False,True,0.030374201720588988,-0.027365809890747887,-0.011980788515332297
1991-04-04,SP500,Strong Buy,0.9999999999999999,379.77,False,True,0.022882270848144926,-0.019959449140269068,-0.022671617031360974
1991-04-05,SP500,Strong Buy,1.0,375.36,False,True,0.02355072463768109,-0.007912404092071683,0.006820119352088668
1991-04-08,SP500,Strong Buy,0.9999999999999999,378.66,False,True,0.006047641683832365,-0.016848888184651276,-0.00314266096234088
1991-04-09,SP500,Strong Buy,0.9999999999999999,373.56,False,True,0.021950958346718032,0.0047917335903202175,-0.000615697612164092
