date,ticker,label,score,close,vix_high_stress,sector_above_sma200,fwd_10,fwd_30,fwd_60
2016-04-11,AAPL,Strong Sell,-1.0,101.8978089576,False,True,-0.03614015776955862,-0.11007612101421373,-0.1183819541686062
2016-04-12,AAPL,Mild Buy,0.40327037267893195,103.225041472,False,True,-0.05514306410759847,-0.10812669527798204,-0.1259823814604861
2016-04-13,AAPL,Strong Buy,1.0,104.7205147277,False,True,-0.1269189575152494,-0.10541768498756177,-0.1318187290168908
2016-04-14,AAPL,Strong Buy,1.0,104.7765949747,False,True,-0.15405887600277238,-0.0988061369640787,-0.1295908690645908
2016-04-15,AAPL,Hold,0.06865154300481904,102.673585709,False,True,-0.1466545289036311,-0.08089699361957638,-0.10773278643107134
2016-04-18,AAPL,Strong Sell,-1.0,100.458415949,False,True,-0.12876814290967095,-0.06521706591437865,-0.09320626051632666
2016-04-19,AAPL,Strong Sell,-1.0,99.9256536017,False,True,-0.10971845477539593,-0.07340836968591222,-0.07030279140031052
2016-04-20,AAPL,Strong Sell,-1.0,100.1312811744,False,True,-0.12078782787303598,-0.0822609223620509,-0.07230591394700979
2016-04-21,AAPL,Strong Sell,-1.0,99.047063064,False,True,-0.1147494573933609,-0.07031603247538769,-0.05218187828810595
2016-04-22,AAPL,Strong Sell,-1.0,98.7760085364,False,True,-0.11727080708906493,-0.06100538937832662,-0.04920012407273076
2016-04-25,AAPL,Strong Sell,-1.0,98.2152060655,False,True,-0.11156024900250985,-0.05181389652745007,-0.04290939207203249
2016-04-26,AAPL,Strong Sell,-1.0,97.5328963926,False,True,-0.09927071982591702,-0.04604843737564576,-0.04132399563605894
2016-04-27,AAPL,Strong Sell,-1.0,91.429496168,False,True,-0.048501969709552714,0.024935452583166928,0.014752952853655762
2016-04-28,AAPL,Strong Sell,-1.0,88.63483052149999,False,True,-0.04152407932914385,0.04855186229702489,0.03274348149282045
2016-04-29,AAPL,Strong Sell,-1.0,87.61603936600001,False,True,-0.028447066957550834,0.04475212662741711,0.037561003504765454
2016-05-02,AAPL,Strong Sell,-1.0,87.5225722876,False,True,0.008691931693920088,0.047157175788179455,0.10614437971810142
2016-05-03,AAPL,Strong Sell,-1.0,88.9619652961,False,True,-0.01175112088655521,0.02683170517821995,0.10294029357961437
2016-05-04,AAPL,Strong Sell,-1.0,88.0366412192,False,True,0.010065500563494185,0.042003908418004436,0.11314430852034398
2016-05-05,AAPL,Strong Sell,-1.0,87.681466321,False,True,0.010296010295892883,0.022415272414636575,0.13738738738696096
2016-05-06,AAPL,Strong Sell,-1.0,87.1924662943,False,True,0.02696289905098934,0.025668679896560163,0.12683347713520227
2016-05-09,AAPL,Strong Sell,-1.0,87.258293221,False,True,0.03922836512548469,0.03362431296437375,0.14010130401975215
2016-05-10,AAPL,Strong Sell,-1.0,87.85073556100001,False,True,0.047955469920621295,0.02280025690404355,0.1393705844568414
2016-05-11,AAPL,Strong Sell,-1.0,86.9949855143,False,True,0.07685655604829038,0.038806615501362066,0.16807553970333752
2016-05-12,AAPL,Strong Sell,-1.0,84.9543507876,False,True,0.11146778835466292,0.033872038963541906,0.20603785591820284
2016-05-13,AAPL,Strong Sell,-1.0,85.1236200276,False,True,0.1085947856823145,0.016791869200775935,0.2085266112101984
2016-05-16,AAPL,Strong Sell,-1.0,88.2833125076,False,True,0.06369833830505499,-0.003089049850463213,0.15659850700900982
2016-05-17,AAPL,Strong Sell,-1.0,87.9165624876,False,True,0.0531607658575049,0.009733661354431286,0.16067056327631452
2016-05-18,AAPL,Strong Sell,-1.0,88.922774081,False,True,0.033417935702198635,0.010998307952124219,0.15019497621536415
2016-05-19,AAPL,Strong Sell,-1.0,88.584235601,False,True,0.03949044585942682,0.0179405520171588,0.1684653513895821
2016-05-20,AAPL,Strong Sell,-1.0,89.543427961,False,True,0.035811804243150676,-0.0024154589367988,0.15489285554201485
2016-05-23,AAPL,Strong Sell,-1.0,90.6812934077,False,True,0.026962563516902675,-0.009333195063670315,0.13873313565167741
2016-05-24,AAPL,Strong Sell,-1.0,92.0636588677,False,True,0.010623084779906932,-0.020020429009330404,0.12019696135151509
2016-05-25,AAPL,Strong Sell,-1.0,93.6811204944,False,True,0.0003011443485209737,-0.02951214615612198,0.10368189144237029
2016-05-26,AAPL,Strong Sell,-1.0,94.424024381,False,True,-0.015735484512974966,-0.03415994422865375,0.08648753767842225
2016-05-27,AAPL,Strong Sell,-1.0,94.367601301,False,True,-0.029995017438998888,-0.02919780767248131,0.09054353966300795
